"Lp;ANN;LR;Rzeczywisty"			
"1;"	"17:08;"	"18:01;"	17:40
"2;"	"17:01;"	"16:37;"	17:00
"3;"	"17:33;"	"17:25;"	18:00
"4;"	"16:13;"	"17:09;"	18:00
"5;"	"17:27;"	"18:22;"	16:30
"6;"	"17:03;"	"14:46;"	13:00
"7;"	"13:19;"	"19:43;"	12:00
"8;"	"17:02;"	"17:57;"	17:36
"9;"	"18:03;"	"16:36;"	17:02
10	";17:41"	";17:18"	18:00
11	";17:16"	";17:25"	";17:10"
12	";17:20"	";18:29"	";16:25"
13	";19:10"	";13:26"	";15:00"
14	";15:50"	";20:29"	";13:00"
15	";17:19"	";17:45"	";17:30"
16	";16:08"	";16:40"	";16:25"
17	";17:39"	";17:13"	";18:00"
18	";16:12"	";17:29"	";16:25"
19	";17:45"	";18:46"	";17:30"
20	";16:58"	";15:51"	";15:00"
21	";15:20"	";20:45"	";15:00"
22	";17:20"	";17:38"	";"
23	";16:53"	";16:42"	";"
24	";17:31"	";17:10"	";"
25	";10:41"	";17:41"	";"
26	";16:11"	";18:57"	";"
27	";19:47"	";16:53"	";16:55"
28	";14:12"	";20:32"	";16:55"
